|mespilus germanica| rosacea c.13.7
|metasequoia glyptostroboides| taxodiacea e.1.7
|morus alba 'pendula'| moracea |c.14.7, e.3.5|
|morus alba| moracea |c.4.11, e.12.6, e.9.6|
|morus nigra| moracea e.13
|nyssa sylvatica| nyssacea plat.13
|olea africana| oleacea e.7.8
|olea europaea| oleacea c.14.7,c.9.6,tol.2,tol.3
|olea europaea 'lechín de granada'| oleacea tol.1,tol.3
|olea europaea 'limoncillo'| oleacea tol.3
|olea europaea 'picual'| oleacea tol.2,tol.3
|olea europaea 'real sevillana'| oleacea tol.2
|olea europaea var. sylvestris| oleacea e.7.8
|parrotia persica| hamamelidacea c.1.1.1,f.2,tol.3
|paulownia tomentosa| scrophulariacea vj.14,vj.4
|persea indica| lauracea c.12.6
|phellodendron amurense var.sachalinense| rutacea f.12
|phellodendron amurense| rutacea c.1.1.1
|phellodendron lavallei| rutacea f.21,pu
|phoenix canariensis| palma |e.12.6, f.13, pu|
|phoenix reclinata| palma e.13.2
|photinia serratifolia| rosacea |c.10.6, c.11.1, c.11.7, c.12.7, c.16.4, e.9.6, tol.2, vj.10, vj.14, vj.2|
|picea abies 'little gem'| pinacea c3.7
|picea abies| pinacea |e.1.8, tol.3|
|picea orientalis 'aurea'| pinacea e.1.3
|picea pungens 'koster'| pinacea e.1.4,e.1.8
|pinus brutia| pinacea e.0,e.13,tol.3
|pinus canariensis| pinacea ap.7
|pinus densiflora 'umbraculifera'| pinacea c.3.7
|pinus halepensis| pinacea |ap.5, ap.6, ap.7, c.16.2, e.2.15|
|pinus leucodermis| pinacea ap.7,c.3.7
|pinus nigra| pinacea e.1.7
|pinus pinaster| pinacea c.6.7
|pinus pinea| pinacea |ap.6, ap.7, c.15.1, c.16.2, e.1.3, tol.2, tol.3|
|pinus radiata| pinacea e.1.4
|pinus sylvestris| pinacea ap.8
|pinus tabuliformis| pinacea e.1.4
|pinus wallichiana| pinacea c.8.12,e.1.3
|platanus orientalis var.acerifolia| platanacea c.10.6,c.11.12,c.9.1,e.3.7,e.4.8,f.17,f.18,v.2,v.2.1
|podocarpus macrophyllus| podocarpacea |ap.7, e.1.3, e1.7, f.11, f.20, v2.2|
|podocarpus neriifolius| podocarpacea e.1.7
|podocarpus nubigenus| podocarpacea e.1.3
|populus alba 'roumi'| salicacea |e.4.5, f.11, f.9|
|prumnopitys andina| podocarpacea e.1.7
|prunus cerasifera| rosacea e.5.5
|prunus domestica| rosacea c.13.1
|prunus dulcis| rosacea |c.11.1, pu, tol.2|
